,team1,team1_roster,team2,team2_roster,bo,match_score,map1,map1_score,map2,map2_score,map3,map3_score,map4,map4_score,map5,map5_score,winner,hltv_id
36,Vitality,"ZywOo, mezii, ropz, flameZ, apEX",Virtus.pro,"FL1T, ICY, FL4MUS, electroNic, fame",3,2-0,Train,13-11,Inferno,13-6,Not played,No score,Not played,No score,Not played,No score,Vitality,2378228
37,Vitality,"ZywOo, ropz, mezii, apEX, flameZ",Metizport,"Plopski, L00m1, hampus, adamb, isak",3,2-0,Mirage,13-11,Dust2,13-9,Not played,No score,Not played,No score,Not played,No score,Vitality,2378211
38,Vitality,"Spinx, mezii, flameZ, ZywOo, apEX",MIBR,"exit, Lucaozy, insani, saffee, drop",3,2-0,Mirage,13-3,Anubis,13-5,Not played,No score,Not played,No score,Not played,No score,Vitality,2377717
39,Vitality,"ZywOo, mezii, apEX, Spinx, flameZ",FURIA,"skullz, KSCERATO, FalleN, yuurih, chelo",1,1-0,Mirage,16-13,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2377705
40,Vitality,"ZywOo, flameZ, Spinx, apEX, mezii",GamerLegion,"sl3nd, FL4MUS, volt, Tauson, ztr",1,1-0,Mirage,13-7,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2377698
41,Vitality,"ZywOo, mezii, flameZ, Spinx, apEX",FaZe,"frozen, karrigan, rain, ropz, broky",3,2-0,Mirage,13-5,Dust2,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2377014
42,Vitality,"mezii, Spinx, flameZ, apEX, ZywOo",BetBoom,"Magnojez, S1ren, KaiR0N-, zorte, nafany",1,1-0,Nuke,13-3,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2377002
43,Vitality,"ZywOo, mezii, flameZ, Spinx, apEX",GamerLegion,"FL4MUS, Tauson, ztr, sl3nd, volt",1,1-0,Inferno,13-8,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2376939
44,Vitality,"Spinx, flameZ, ZywOo, JACKZ, apEX",MOUZ,"Brollan, siuhy, xertioN, Jimpphat, torzsi",3,2-0,Dust2,13-6,Mirage,13-6,Not played,No score,Not played,No score,Not played,No score,Vitality,2376881
45,Vitality,"ZywOo, flameZ, JACKZ, Spinx, apEX",Liquid,"jks, NAF, Twistzz, ultimate, YEKINDAR",3,2-1,Anubis,10-13,Dust2,13-3,Nuke,13-11,Not played,No score,Not played,No score,Vitality,2376878
46,Vitality,"ZywOo, Spinx, apEX, mezii, flameZ",The MongolZ,"bLitz, Techno, mzinho, Senzu, 910",3,2-0,Inferno,19-17,Nuke,13-8,Not played,No score,Not played,No score,Not played,No score,Vitality,2376493
47,Vitality,"ZywOo, Spinx, flameZ, apEX, mezii",9z,"MartinezSa, dgt, buda, max, HUASOPEEK",1,1-0,Mirage,13-3,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2376223
48,Vitality,"ZywOo, flameZ, Spinx, mezii, apEX",Liquid,"NAF, jks, Twistzz, ultimate, YEKINDAR",3,2-0,Anubis,16-12,Nuke,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2375772
49,Vitality,"ZywOo, flameZ, Spinx, mezii, apEX",Astralis,"device, stavn, jabbi, cadiaN, Staehr",3,2-0,Inferno,13-0,Dust2,13-4,Not played,No score,Not played,No score,Not played,No score,Vitality,2375767
50,Vitality,"Spinx, ZywOo, apEX, mezii, flameZ",Liquid,"ultimate, NAF, Twistzz, YEKINDAR, jks",3,2-1,Anubis,10-13,Nuke,13-5,Dust2,13-9,Not played,No score,Not played,No score,Vitality,2375413
51,Vitality,"ZywOo, mezii, flameZ, Spinx, apEX",FURIA,"FalleN, KSCERATO, yuurih, skullz, chelo",3,2-0,Vertigo,13-7,Dust2,13-3,Not played,No score,Not played,No score,Not played,No score,Vitality,2375394
52,Vitality,"ZywOo, apEX, Spinx, mezii, flameZ",ATOX,"Annihilation, MiQ, kabal, yAmi, dobu",3,2-0,Inferno,13-11,Nuke,13-7,Not played,No score,Not played,No score,Not played,No score,Vitality,2375365
53,Vitality,"ZywOo, Spinx, flameZ, apEX, mezii",Natus Vincere,"iM, b1t, Aleksib, w0nderful, jL",5,3-1,Nuke,16-14,Dust2,10-13,Mirage,22-20,Inferno,13-9,Not played,No score,Vitality,2374326
54,Vitality,"apEX, ZywOo, mezii, flameZ, Spinx",SAW,"arrozdoce, story, ewjerkz, MUTiRiS, roman",3,2-0,Nuke,13-6,Dust2,13-5,Not played,No score,Not played,No score,Not played,No score,Vitality,2374325
55,Vitality,"flameZ, ZywOo, Spinx, mezii, apEX",MOUZ,"Brollan, xertioN, Jimpphat, torzsi, siuhy",3,2-0,Dust2,13-6,Vertigo,16-13,Not played,No score,Not played,No score,Not played,No score,Vitality,2374320
56,Vitality,"Spinx, mezii, flameZ, ZywOo, apEX",FaZe,"rain, ropz, frozen, broky, karrigan",3,2-1,Inferno,8-13,Dust2,16-12,Anubis,13-9,Not played,No score,Not played,No score,Vitality,2374315
57,Vitality,"ZywOo, Spinx, flameZ, apEX, mezii",FURIA,"KSCERATO, skullz, FalleN, chelo, yuurih",3,2-0,Inferno,13-3,Mirage,13-2,Not played,No score,Not played,No score,Not played,No score,Vitality,2374305
58,Vitality,"ZywOo, mezii, Spinx, flameZ, apEX",Astralis,"stavn, Staehr, br0, jabbi, device",3,2-1,Vertigo,10-13,Mirage,13-10,Nuke,13-7,Not played,No score,Not played,No score,Vitality,2373792
59,Vitality,"flameZ, apEX, mezii, Spinx, ZywOo",Astralis,"device, stavn, br0, jabbi, Staehr",3,2-0,Nuke,13-7,Dust2,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2373781
60,Vitality,"Spinx, ZywOo, flameZ, mezii, apEX",GamerLegion,"FL4MUS, ztr, sl3nd, aNdu, volt",3,2-1,Anubis,10-13,Mirage,19-17,Dust2,13-5,Not played,No score,Not played,No score,Vitality,2373773
61,Vitality,"ZywOo, Spinx, mezii, flameZ, apEX",M80,"s1n, slaxz-, Swisher, reck, Lake",3,2-0,Vertigo,13-11,Dust2,13-5,Not played,No score,Not played,No score,Not played,No score,Vitality,2373273
62,Vitality,"flameZ, ZywOo, Spinx, mezii, apEX",FaZe,"broky, frozen, rain, ropz, karrigan",3,2-1,Inferno,4-13,Dust2,13-10,Mirage,13-6,Not played,No score,Not played,No score,Vitality,2372742
63,Vitality,"ZywOo, apEX, mezii, flameZ, Spinx",G2,"NiKo, huNter-, m0NESY, nexa, HooXi",3,2-1,Inferno,13-4,Anubis,9-13,Mirage,13-5,Not played,No score,Not played,No score,Vitality,2372740
